,lon,lat,hurt,radius,color,group,type
7710,121.528471,25.050967,1,1,#DDD23B,其他路段,計程車-小客車;其他人-人;普通重型-機車
7711,121.579132,25.078720999999998,3,5,#DDD23B,其他路段,普通重型-機車;普通重型-機車;普通重型-機車
7712,121.51548000000001,25.090881,2,3,#DDD23B,其他路段,普通重型-機車;自用-小客車;普通重型-機車
7713,121.519251,25.030712,1,1,#DDD23B,羅斯福路1、2段,自用-小客車;普通重型-機車
7714,121.577937,25.051196,1,1,#DDD23B,八德路3、4段,自用-小客車;普通重型-機車
7715,121.522921,25.062953,2,3,#DDD23B,其他路段,普通重型-機車;計程車-小客車;普通重型-機車
7716,121.543373,25.033120999999998,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7717,121.500681,25.03199,3,5,#DDD23B,其他路段,其他車-其他車;普通重型-機車;普通重型-機車;普通重型-機車
7718,121.532475,25.043796,1,1,#DDD23B,其他路段,計程車-小客車;普通重型-機車
7719,121.517403,25.04549,1,1,#DDD23B,公園路,普通重型-機車;自用-小客車
7720,121.52801399999998,25.062951,2,3,#DDD23B,其他路段,計程車-小客車;普通重型-機車;普通重型-機車
7721,121.52938799999998,25.035391,1,1,#DDD23B,其他路段,計程車-小客車;普通重型-機車
7722,121.495281,25.018291,1,1,#DDD23B,其他路段,普通重型-機車;自用-小客車
7723,121.554907,24.978524,3,5,#DDD23B,其他路段,普通重型-機車;普通重型-機車;普通重型-機車
7724,121.55720500000001,25.046149,1,1,#DDD23B,光復南北路,計程車-小客車;普通重型-機車
7725,121.54242099999999,25.036034,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7726,121.53816299999998,25.032349,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7727,121.580276,25.067865,3,5,#DDD23B,其他路段,普通重型-機車;普通輕型-機車;普通輕型-機車
7728,121.496678,25.13709,2,3,#DDD23B,其他路段,普通重型-機車;行人-人
7729,121.56163500000001,24.982021,1,1,#DDD23B,其他路段,普通重型-機車;普通重型-機車;普通重型-機車
7730,121.55556000000001,25.058427,1,1,#DDD23B,光復南北路,自用-小客車;普通重型-機車
7731,121.553596,25.0452,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7733,121.53313100000001,25.045912,1,1,#DDD23B,松江路,普通重型-機車;行人-人
7734,121.559977,25.03454,2,3,#DDD23B,其他路段,自用-小客車;普通重型-機車;行人-人
7735,121.51678400000002,25.04909,2,3,#DDD23B,南京東西路,自用-小客車;普通重型-機車;行人-人;普通重型-機車
7736,121.52358799999999,25.045123999999998,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7737,121.494328,25.026267999999998,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7738,121.549346,25.01724,1,1,#DDD23B,其他路段,其他車-其他車;普通重型-機車
7739,121.51403799999999,25.141683999999998,1,1,#DDD23B,其他路段,普通重型-機車;自用-小客車
7740,121.592479,25.053844,2,3,#DDD23B,忠孝東路6段,普通重型-機車;普通輕型-機車
7741,121.53758700000002,25.051791,1,1,#DDD23B,其他路段,普通重型-機車
7742,121.58100300000001,25.04342,2,3,#DDD23B,其他路段,行人-人;普通重型-機車
7743,121.51641699999999,25.026235999999997,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7744,121.467299,25.124904,2,3,#DDD23B,其他路段,計程車-小客車;普通輕型-機車;普通輕型-機車
7745,121.565242,25.041291,1,1,#DDD23B,其他路段,普通重型-機車;自用-小客車
7746,121.522755,25.064854999999998,1,1,#DDD23B,其他路段,普通重型-機車;計程車-小客車
7748,121.52116200000002,25.078831,1,1,#DDD23B,其他路段,計程車-小客車;普通重型-機車
7750,121.52801399999998,25.062951,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7752,121.53363799999998,25.061885,1,1,#DDD23B,松江路,其他車-其他車;其他車-其他車;普通重型-機車
7753,121.52018600000001,25.107284,2,3,#DDD23B,其他路段,普通輕型-機車;普通重型-機車
7754,121.518776,25.063072000000002,2,3,#DDD23B,其他路段,普通重型-機車;自用-小客車;普通重型-機車
7755,121.51275600000001,25.049865,1,1,#DDD23B,其他路段,普通重型-機車;營業用-小貨車
7756,121.560624,24.982333999999998,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7757,121.532358,25.116059,1,1,#DDD23B,其他路段,普通重型-機車;計程車-小客車
7758,121.54421299999998,25.038270999999998,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7759,121.53551499999999,25.042214,2,3,#DDD23B,光復南北路,普通重型-機車;計程車-小客車;計程車-小客車
7760,121.53728899999999,25.113135999999997,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7761,121.52412199999999,25.048074,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7762,121.46619,25.129936999999998,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車;普通重型-機車
7763,121.581174,24.985112,2,3,#DDD23B,其他路段,普通重型-機車;自用-小貨車;普通重型-機車
7764,121.508951,25.063672,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7765,121.55780700000001,25.019832,1,1,#DDD23B,和平東路1、2、3段,計程車-小客車;普通重型-機車
7766,121.56327399999999,25.062462,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7767,121.51358,25.035557999999998,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7768,121.540631,25.048217,1,1,#DDD23B,其他路段,普通重型-機車;自用-小客車
7769,121.55282,25.050194,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7770,121.520867,25.046025,1,1,#DDD23B,其他路段,普通重型-機車;普通重型-機車
