Player,Assister,Make,AvgPoints,Age,AvgBLK,AvgSTL,AvgAST,Avg3points,Team
JaysonTatum,Al Horford,59,14.65,32,1,1,3.15,0.3665,BOS
MarcusSmart,Terry Rozier,17,8.95,24,0.35,1.35,3.45,0.3585,BOS
JaysonTatum,Gordon Hayward,20,13.6,28,0.5,1,2.75,0.353,BOS
JaysonTatum,Terry Rozier,32,12.35,24,0.5,1,2.5,0.363,BOS
TerryRozier,Marcus Smart,27,8.95,24,0.35,1.35,3.45,0.3585,BOS
JaylenBrown,Terry Rozier,36,11,24,0.35,0.9,2.15,0.3485,BOS
MarcusMorris,Al Horford,39,13.75,32,0.8,0.75,2.85,0.3675,BOS
JaylenBrown,Al Horford,34,13.3,32,0.85,0.9,2.8,0.352,BOS
JaylenBrown,Marcus Morris,15,13.45,29,0.35,0.75,1.45,0.3595,BOS
AronBaynes,Jaylen Brown,8,9.3,22,0.55,0.55,1.25,0.344,BOS
MarcusMorris,Marcus Smart,48,11.4,24,0.35,1.2,2.75,0.3695,BOS
GordonHayward,Marcus Morris,12,12.7,29,0.3,0.75,2.45,0.354,BOS
TerryRozier,Jayson Tatum,10,12.35,20,0.5,1,2.5,0.363,BOS
MarcusSmart,Al Horford,36,11.25,32,0.85,1.35,4.1,0.362,BOS
AlHorford,Terry Rozier,23,11.3,24,0.8,0.9,3.55,0.3565,BOS
TerryRozier,Al Horford,11,11.3,32,0.8,0.9,3.55,0.3565,BOS
AlHorford,Marcus Morris,11,13.75,29,0.8,0.75,2.85,0.3675,BOS
MarcusMorris,Terry Rozier,30,11.45,24,0.3,0.75,2.2,0.364,BOS
AlHorford,Jayson Tatum,34,14.65,20,1,1,3.15,0.3665,BOS
GordonHayward,Terry Rozier,38,10.25,24,0.3,0.9,3.15,0.343,BOS
JaylenBrown,Gordon Hayward,47,12.25,28,0.35,0.9,2.4,0.3385,BOS
GordonHayward,Marcus Smart,21,10.2,24,0.35,1.35,3.7,0.3485,BOS
AlHorford,Jaylen Brown,10,13.3,22,0.85,0.9,2.8,0.352,BOS
JaylenBrown,Aron Baynes,7,9.3,32,0.55,0.55,1.25,0.344,BOS
AronBaynes,Marcus Morris,7,9.75,29,0.5,0.4,1.3,0.3595,BOS
BradWanamaker,Al Horford,5,8.75,32,0.7,0.6,2.9,0.385,BOS
KyrieIrving,Al Horford,60,18.7,32,0.9,1.2,5.55,0.3805,BOS
AlHorford,Kyrie Irving,130,18.7,26,0.9,1.2,5.55,0.3805,BOS
MarcusSmart,Marcus Morris,13,11.4,29,0.35,1.2,2.75,0.3695,BOS
MarcusMorris,Jayson Tatum,18,14.8,20,0.5,0.85,1.8,0.374,BOS
MarcusSmart,Jayson Tatum,16,12.3,20,0.55,1.45,3.05,0.3685,BOS
AronBaynes,Terry Rozier,6,7.3,24,0.5,0.55,2,0.3485,BOS
AronBaynes,Gordon Hayward,10,8.55,28,0.5,0.55,2.25,0.3385,BOS
AronBaynes,Marcus Smart,12,7.25,24,0.55,1,2.55,0.354,BOS
MarcusSmart,Jaylen Brown,5,10.95,22,0.4,1.35,2.7,0.354,BOS
BradWanamaker,Aron Baynes,1,4.75,32,0.4,0.25,1.35,0.377,BOS
GordonHayward,Al Horford,28,12.55,32,0.8,0.9,3.8,0.3465,BOS
KyrieIrving,Marcus Smart,53,16.35,24,0.45,1.65,5.45,0.3825,BOS
JaylenBrown,Jayson Tatum,22,14.35,20,0.55,1,1.75,0.3585,BOS
MarcusSmart,Kyrie Irving,34,16.35,26,0.45,1.65,5.45,0.3825,BOS
GordonHayward,Kyrie Irving,44,17.65,26,0.4,1.2,5.15,0.367,BOS
TerryRozier,Gordon Hayward,29,10.25,28,0.3,0.9,3.15,0.343,BOS
DanielTheis,Terry Rozier,20,7.35,24,0.45,0.6,1.95,0.3705,BOS
JaysonTatum,Kyrie Irving,73,19.75,26,0.6,1.3,4.5,0.387,BOS
JaysonTatum,Daniel Theis,7,10.7,26,0.65,0.7,1.55,0.3805,BOS
JaylenBrown,Kyrie Irving,41,18.4,26,0.45,1.2,4.15,0.3725,BOS
DanielTheis,Gordon Hayward,27,8.6,28,0.45,0.6,2.2,0.3605,BOS
DanielTheis,Marcus Morris,6,9.8,29,0.45,0.45,1.25,0.3815,BOS
DanielTheis,Kyrie Irving,25,14.75,26,0.55,0.9,3.95,0.3945,BOS
MarcusMorris,Kyrie Irving,75,18.85,26,0.4,1.05,4.2,0.388,BOS
DanielTheis,Marcus Smart,11,7.3,24,0.5,1.05,2.5,0.376,BOS
JaylenBrown,Daniel Theis,12,9.35,26,0.5,0.6,1.2,0.366,BOS
TerryRozier,Jaylen Brown,16,11,22,0.35,0.9,2.15,0.3485,BOS
JaysonTatum,Marcus Smart,47,12.3,24,0.55,1.45,3.05,0.3685,BOS
MarcusMorris,Jaylen Brown,9,13.45,22,0.35,0.75,1.45,0.3595,BOS
SemiOjeleye,Gordon Hayward,10,7.4,28,0.2,0.55,1.9,0.324,BOS
DanielTheis,Jaylen Brown,9,9.35,22,0.5,0.6,1.2,0.366,BOS
SemiOjeleye,Guerschon Yabusele,1,2.8,23,0.15,0.2,0.4,0.318,BOS
TerryRozier,Kyrie Irving,10,16.4,26,0.4,1.2,4.9,0.377,BOS
KyrieIrving,Jayson Tatum,28,19.75,20,0.6,1.3,4.5,0.387,BOS
MarcusSmart,Gordon Hayward,19,10.2,28,0.35,1.35,3.7,0.3485,BOS
KyrieIrving,Gordon Hayward,24,17.65,28,0.4,1.2,5.15,0.367,BOS
KyrieIrving,Terry Rozier,12,16.4,24,0.4,1.2,4.9,0.377,BOS
KyrieIrving,Jaylen Brown,10,18.4,22,0.45,1.2,4.15,0.3725,BOS
MarcusSmart,Aron Baynes,11,7.25,32,0.55,1,2.55,0.354,BOS
GordonHayward,Aron Baynes,9,8.55,32,0.5,0.55,2.25,0.3385,BOS
GuerschonYabusele,Brad Wanamaker,8,3.1,29,0.15,0.25,1,0.3655,BOS
BradWanamaker,Jaylen Brown,3,8.45,22,0.25,0.6,1.5,0.377,BOS
TerryRozier,Robert Williams,1,5.75,21,0.8,0.6,1.55,,BOS
TerryRozier,Semi Ojeleye,3,6.15,24,0.2,0.55,1.65,0.334,BOS
AlHorford,Gordon Hayward,28,12.55,28,0.8,0.9,3.8,0.3465,BOS
TerryRozier,Aron Baynes,1,7.3,32,0.5,0.55,2,0.3485,BOS
GordonHayward,Robert Williams,1,7,21,0.8,0.6,1.8,,BOS
JaylenBrown,Brad Wanamaker,8,8.45,29,0.25,0.6,1.5,0.377,BOS
JaysonTatum,Brad Wanamaker,4,9.8,29,0.4,0.7,1.85,0.3915,BOS
MarcusMorris,Gordon Hayward,26,12.7,28,0.3,0.75,2.45,0.354,BOS
MarcusMorris,Aron Baynes,7,9.75,32,0.5,0.4,1.3,0.3595,BOS
KyrieIrving,Marcus Morris,12,18.85,29,0.4,1.05,4.2,0.388,BOS
JaysonTatum,Marcus Morris,14,14.8,29,0.5,0.85,1.8,0.374,BOS
KyrieIrving,Aron Baynes,16,14.7,32,0.6,0.85,4,0.3725,BOS
TerryRozier,Marcus Morris,17,11.45,29,0.3,0.75,2.2,0.364,BOS
DanielTheis,Brad Wanamaker,7,4.8,29,0.35,0.3,1.3,0.399,BOS
BradWanamaker,Daniel Theis,3,4.8,26,0.35,0.3,1.3,0.399,BOS
GordonHayward,Daniel Theis,14,8.6,26,0.45,0.6,2.2,0.3605,BOS
SemiOjeleye,Terry Rozier,7,6.15,24,0.2,0.55,1.65,0.334,BOS
JaylenBrown,Marcus Smart,19,10.95,24,0.4,1.35,2.7,0.354,BOS
DanielTheis,Jayson Tatum,13,10.7,20,0.65,0.7,1.55,0.3805,BOS
AronBaynes,Kyrie Irving,23,14.7,26,0.6,0.85,4,0.3725,BOS
JaysonTatum,Aron Baynes,4,10.65,32,0.7,0.65,1.6,0.3585,BOS
JaysonTatum,Jaylen Brown,10,14.35,22,0.55,1,1.75,0.3585,BOS
SemiOjeleye,Brad Wanamaker,6,3.6,29,0.1,0.25,1,0.3625,BOS
GuerschonYabusele,Greg Monroe,1,2.65,28,0.1,0.1,0.45,,BOS
AronBaynes,Jayson Tatum,6,10.65,20,0.7,0.65,1.6,0.3585,BOS
AronBaynes,Al Horford,5,9.6,32,1,0.55,2.65,0.352,BOS
KyrieIrving,Daniel Theis,7,14.75,26,0.55,0.9,3.95,0.3945,BOS
GordonHayward,Jayson Tatum,14,13.6,20,0.5,1,2.75,0.353,BOS
MarcusSmart,Daniel Theis,10,7.3,26,0.5,1.05,2.5,0.376,BOS
GordonHayward,Jaylen Brown,11,12.25,22,0.35,0.9,2.4,0.3385,BOS
AlHorford,Semi Ojeleye,2,8.45,24,0.7,0.55,2.3,0.3375,BOS
AlHorford,Brad Wanamaker,3,8.75,29,0.7,0.6,2.9,0.385,BOS
JaysonTatum,Semi Ojeleye,1,9.5,24,0.4,0.65,1.25,0.344,BOS
AlHorford,Aron Baynes,1,9.6,32,1,0.55,2.65,0.352,BOS
BradWanamaker,Terry Rozier,4,6.45,24,0.2,0.6,2.25,0.3815,BOS
TerryRozier,Guerschon Yabusele,4,5.65,23,0.25,0.55,1.65,0.337,BOS
TerryRozier,Brad Wanamaker,3,6.45,29,0.2,0.6,2.25,0.3815,BOS
PJDozier,Brad Wanamaker,1,3.55,29,0.05,0.3,1.2,0.33,BOS
MarcusSmart,Brad Wanamaker,1,6.4,29,0.25,1.05,2.8,0.387,BOS
SemiOjeleye,Daniel Theis,3,4.5,26,0.35,0.25,0.7,0.3515,BOS
GuerschonYabusele,Marcus Smart,3,5.6,24,0.3,1,2.2,0.3425,BOS
TerryRozier,Daniel Theis,4,7.35,26,0.45,0.6,1.95,0.3705,BOS
SemiOjeleye,Kyrie Irving,3,13.55,26,0.3,0.85,3.65,0.358,BOS
SemiOjeleye,Al Horford,4,8.45,32,0.7,0.55,2.3,0.3375,BOS
SemiOjeleye,Jayson Tatum,4,9.5,20,0.4,0.65,1.25,0.344,BOS
MarcusSmart,Semi Ojeleye,2,6.1,24,0.25,1,2.2,0.3395,BOS
SemiOjeleye,Marcus Smart,5,6.1,24,0.25,1,2.2,0.3395,BOS
