Team,Player,Assister,Make,AvgPoints,Age,AvgBLK,AvgSTL,AvgAST,Avg3points,alt
MIL,Jason Smith,Malcolm Brogdon,1,8.9,26,0.25,0.5,1.7,0.3795,JasonSmith
MIL,Donte DiVincenzo,Ersan İlyasova,2,5.85,31,0.25,0.5,0.95,0.314,DonteDiVincenzo
MIL,Donte DiVincenzo,Malcolm Brogdon,4,10.25,26,0.2,0.6,2.15,0.3455,DonteDiVincenzo
MIL,Thon Maker,Ersan İlyasova,1,5.75,31,0.4,0.4,0.65,0.348,ThonMaker
MIL,Thon Maker,Khris Middleton,1,11.5,27,0.3,0.65,2.4,0.3555,ThonMaker
MIL,Malcolm Brogdon,Thon Maker,1,10.15,21,0.35,0.5,1.85,0.3795,MalcolmBrogdon
MIL,Matthew Dellavedova,Tony Snell,1,3.85,27,0.1,0.3,1.65,0.3805,MatthewDellavedova
MIL,Ersan İlyasova,Brook Lopez,1,9.65,30,1.25,0.55,1,0.364,Ersanİlyasova
MIL,Thon Maker,John Henson,1,5.15,28,0.65,0.4,0.75,0.344,ThonMaker
MIL,Donte DiVincenzo,Tony Snell,1,5.45,27,0.2,0.45,1,0.331,DonteDiVincenzo
MIL,Eric Bledsoe,John Henson,1,10.75,28,0.6,1,3.25,0.342,EricBledsoe
MIL,Sterling Brown,Christian Wood,2,4.6,23,0.05,0.2,0.8,0.4805,SterlingBrown
MIL,Christian Wood,Matthew Dellavedova,2,7.05,28,0.25,0.3,2.1,0.342,ChristianWood
MIL,Christian Wood,Matthew Dellavedova,2,2.25,28,0,0.1,1.3,0.482,ChristianWood
MIL,Jaylen Morris,Matthew Dellavedova,2,2.1,28,0,0.35,1.7,0.3485,JaylenMorris
MIL,Jaylen Morris,Sterling Brown,1,4.45,23,0.05,0.45,1.2,0.347,JaylenMorris
MIL,John Henson,Donte DiVincenzo,1,5.25,22,0.5,0.5,1.05,0.31,JohnHenson
MIL,Pat Connaughton,Thon Maker,2,5.8,21,0.45,0.4,1.25,0.3315,PatConnaughton
MIL,Tony Snell,Brook Lopez,2,9.25,30,1.2,0.5,1.05,0.381,TonySnell
MIL,Nikola Mirotić,George Hill,2,11.4,32,0.4,0.8,1.75,0.3395,NikolaMirotić
MIL,Nikola Mirotić,Solomon Hill,2,10.5,27,0.5,0.6,1.2,0.3425,NikolaMirotić
MIL,Nikola Mirotić,George Hill,2,9.2,32,0.35,0.8,1.75,0.318,NikolaMirotić
MIL,D.J. Wilson,Ersan İlyasova,2,6.3,31,0.35,0.45,0.95,0.3625,D.J.Wilson
MIL,Tony Snell,Nikola Mirotić,1,8.8,27,0.4,0.55,1.15,0.3765,TonySnell
MIL,D.J. Wilson,Nikola Mirotić,1,8.7,27,0.5,0.55,1.25,0.359,D.J.Wilson
MIL,Sterling Brown,Bonzie Colson,1,5.65,23,0.1,0.5,0.9,0.2995,SterlingBrown
MIL,Tim Frazier,George Hill,1,6.45,32,0.1,0.7,3.25,0.34,TimFrazier
MIL,Tim Frazier,Solomon Hill,1,4.65,27,0.15,0.5,2.85,0.334,TimFrazier
MIL,Tim Frazier,George Hill,1,6.55,32,0.1,0.65,2.8,0.3485,TimFrazier
MIL,Bonzie Colson,Khris Middleton,2,11.6,27,0.1,0.8,2.35,0.308,BonzieColson
MIL,Tim Frazier,Khris Middleton,1,12.3,27,0.1,0.7,3.9,0.3975,TimFrazier
MIL,Khris Middleton,Tim Frazier,3,12.3,28,0.1,0.7,3.9,0.3975,KhrisMiddleton
MIL,Tim Frazier,Pat Connaughton,1,6.6,26,0.25,0.45,2.75,0.3735,TimFrazier
MIL,Bonzie Colson,George Hill,1,5.85,32,0.1,0.75,1.25,0.259,BonzieColson
MIL,Tim Frazier,D.J. Wilson,3,6.05,22,0.25,0.4,2.3,0.3895,TimFrazier
MIL,Tim Frazier,Sterling Brown,1,6.35,23,0.1,0.4,2.45,0.389,TimFrazier
MIL,Bonzie Colson,Pat Connaughton,1,5.9,26,0.25,0.55,1.2,0.284,BonzieColson
MIL,Sterling Brown,Ersan İlyasova,1,6.6,31,0.2,0.45,1.1,0.362,SterlingBrown
MIL,Jason Smith,Pat Connaughton,2,4.55,26,0.35,0.4,1.1,0.3315,JasonSmith
MIL,Pat Connaughton,Jason Smith,1,4.55,32,0.35,0.4,1.1,0.3315,PatConnaughton
MIL,Jason Smith,George Hill,1,5.45,32,0.25,0.55,1.5,0.33,JasonSmith
