,lon,lat,value,radius
229224,121.518148,25.114348,3,8
229226,121.515997,25.05712,3,8
229227,121.53319599999999,25.066536,3,8
229235,121.53125700000001,25.105341,3,8
229246,121.552784,25.089092,3,8
229262,121.56833200000001,25.028470000000002,3,8
229284,121.519038,25.058539,3,8
229285,121.54680400000001,25.019410999999998,4,10
229294,121.522691,25.045067,1,2
229302,121.56515,25.032845000000002,2,5
229309,121.513309,25.033506,2,5
229316,121.508928,25.045196,3,8
229317,121.54370800000001,25.043107,2,5
229399,121.5175,25.117110999999998,2,5
229450,121.558923,24.980507,2,5
229478,121.599551,25.079002,4,10
229504,121.548957,25.0226,4,10
229509,121.60694199999999,25.059051999999998,2,5
229523,121.59041299999998,25.065573999999998,2,5
229536,121.58141,25.043632000000002,2,5
229538,121.51016399999999,25.044139,3,8
229548,121.56783,25.045057,2,5
229552,121.52537199999999,25.084183,2,5
229558,121.525801,25.02662,3,8
229562,121.548791,25.081453,2,5
229573,121.50473899999999,25.124622,2,5
229574,121.55343799999999,25.000132,3,8
229641,121.49265600000001,25.036957,2,5
229648,121.52023600000001,25.047295000000002,2,5
229653,121.530199,25.057407,2,5
229659,121.584676,25.065001000000002,2,5
229675,121.540424,24.996358999999998,2,5
229683,121.50748,25.038667,1,2
229706,121.574091,25.065347,4,10
229747,121.548643,25.044716,2,5
229766,121.503575,25.117528,2,5
229769,121.537924,25.036282999999997,2,5
229780,121.49848700000001,25.131476,2,5
229781,121.54083,24.993185,2,5
229782,121.573254,25.046997,4,10
229792,121.53646100000002,25.056551000000002,2,5
229813,121.567806,25.052864000000003,2,5
229823,121.617539,25.06786,2,5
229863,121.556339,25.049776,2,5
229900,121.502614,25.13304,3,8
229926,121.565545,25.086412,3,8
229928,121.600885,25.06691,2,5
229937,121.522279,25.062901,2,5
229952,121.56841299999999,25.040991,2,5
229963,121.585431,25.05276,3,8
229976,121.52656100000002,25.100376999999998,1,2
229983,121.543299,25.097236,2,5
229989,121.571929,25.040998000000002,3,8
229995,121.59543700000002,25.051461,2,5
230004,121.55406,24.979426,2,5
230005,121.59058700000001,25.069392,3,8
230054,121.56695500000001,25.045806,2,5
230057,121.529928,25.043615,2,5
230075,121.58521,25.08434,2,5
230101,121.50421200000001,25.136867000000002,2,5
230131,121.52271100000002,25.089795000000002,2,5
230144,121.56837800000001,25.02732,2,5
230184,121.52401,25.047929,2,5
230200,121.544067,25.056586,3,8
230204,121.62021399999999,25.0418,2,5
230206,121.533079,25.052075,2,5
230216,121.58635500000001,25.078519,2,5
230217,121.532766,25.041586,2,5
230218,121.54683,25.048239000000002,2,5
230227,121.52464099999999,25.101511,2,5
230235,121.53014099999999,25.013547,2,5
230245,121.529592,25.046507000000002,3,8
230247,121.523421,25.051262,3,8
230254,121.55290600000001,25.037943,3,8
230258,121.498466,25.021341,2,5
230261,121.50052,25.033023,2,5
230263,121.513327,25.048312,2,5
230270,121.561222,25.084528,2,5
230272,121.52622,25.088051999999998,3,8
230278,121.511074,25.065282,2,5
230295,121.47984,25.122148000000003,2,5
230319,121.506248,25.134634,3,8
230320,121.554644,25.000875,2,5
230331,121.52359799999999,25.079884,2,5
230378,121.541223,24.995928,2,5
230390,121.58868700000001,25.081602,2,5
230406,121.565926,25.026481,2,5
230444,121.526351,25.062624,3,8
230453,121.533928,25.110910999999998,2,5
230454,121.56907,24.999396,3,8
230459,121.55798300000001,25.045026999999997,2,5
230464,121.57943700000001,25.054918,2,5
230472,121.54418000000001,25.054664000000002,3,8
230477,121.52195900000001,25.104617,2,5
230484,121.57066699999999,25.018992,2,5
230492,121.498103,25.032204,2,5
230497,121.516419,25.048619,3,8
230513,121.524051,25.120615,2,5
230522,121.53607199999999,25.058822,2,5
230547,121.51159799999999,25.107584,2,5
230580,121.56837900000001,24.988845,3,8
230587,121.595401,25.083779999999997,1,2
230589,121.521078,25.031426999999997,2,5
230590,121.50778799999999,25.13972,2,5
230595,121.521901,25.109814,2,5
230639,121.549378,25.021716,2,5
230646,121.49608500000001,25.038807000000002,3,8
230654,121.53261699999999,25.037976,3,8
230673,121.51212199999999,25.063064999999998,2,5
230675,121.522746,25.058607000000002,2,5
230677,121.507352,25.052798000000003,2,5
230682,121.56838,25.082194,1,2
230704,121.57158899999999,24.994035,2,5
230714,121.52533999999999,25.084169,2,5
230726,121.567481,25.049723999999998,2,5
230733,121.591254,25.05728,3,8
230765,121.564783,24.990572,2,5
230789,121.519722,25.062898,2,5
230826,121.56679199999999,25.045342,2,5
230835,121.51505,25.060019,2,5
230843,121.518096,25.039983,2,5
230894,121.506642,25.049998000000002,2,5
230925,121.56178100000001,25.030122,1,2
230930,121.52741200000001,25.088126000000003,2,5
230942,121.568991,24.983516,2,5
230943,121.55952099999999,25.030565,2,5
230984,121.516236,25.0258,2,5
231008,121.549428,25.149444,1,2
231086,121.582066,25.011854,2,5
231089,121.51156100000001,25.090554,2,5
231092,121.51635800000001,25.026201999999998,3,8
231102,121.51685900000001,25.034855,3,8
231118,121.548369,25.02082,2,5
231136,121.50943899999999,25.063185,3,8
231137,121.54633899999999,25.082915,2,5
231161,121.565891,25.033997,4,10
231172,121.50073400000001,25.126199,2,5
231174,121.499164,25.035107999999997,2,5
231182,121.523742,25.062888,1,2
231185,121.516742,25.034763,2,5
231196,121.471404,25.122738000000002,2,5
231203,121.53308899999999,25.058004,3,8
231209,121.58746000000001,25.002876999999998,2,5
231213,121.562877,25.047853,2,5
231230,121.511797,25.083869,2,5
231242,121.536271,25.068247,2,5
231249,121.531466,25.038339,1,2
231260,121.51441399999999,25.049345000000002,2,5
231269,121.50166599999999,25.139181,3,8
231289,121.469408,25.126901,2,5
231310,121.578984,25.080459,2,5
231320,121.50678300000001,25.03751,3,8
231328,121.541152,25.062314,2,5
231329,121.51823200000001,25.062987,1,2
231366,121.538531,25.072445000000002,2,5
231415,121.502733,25.093975,2,5
231419,121.52533100000001,25.029011999999998,2,5
231424,121.57455900000001,24.999528,2,5
