road,hour,avgSpd
忠孝東路,23,46.9981787063492
忠孝東路,22,43.224591047619
忠孝東路,21,41.7614839761905
忠孝東路,20,40.899109515873
忠孝東路,19,39.2040400714286
忠孝東路,18,36.8426051349206
忠孝東路,17,36.8748997142857
忠孝東路,16,38.270834515873
忠孝東路,15,38.6575424285714
忠孝東路,14,38.1752806904762
忠孝東路,13,40.5516689761905
愛國東路,12,46.854524
愛國東路,11,46.8432878571429
愛國東路,10,46.2619835714286
愛國東路,9,47.7608911428571
愛國東路,8,48.075402
愛國東路,7,48.3663141428572
愛國東路,6,52.7318027142857
愛國東路,5,49.957483
愛國東路,4,26.7857142857143
愛國東路,3,37.0952382857143
愛國東路,2,39.4285714285714
愛國東路,1,48.9785714285714
愛國東路,0,50.1663267142857
愛國東路,23,58.6071111428571
愛國東路,22,49.0565584285714
愛國東路,21,47.8933305714286
愛國東路,20,47.9998561428572
愛國東路,19,46.2304248571429
愛國東路,18,44.3034967142857
愛國東路,17,44.4404985714286
愛國東路,16,45.9283624285714
愛國東路,15,47.9128038571429
愛國東路,14,45.9983758571429
愛國東路,13,46.8868754285714
承德路,12,48.1402953619048
承德路,11,47.8038102476191
承德路,10,48.3092581047619
承德路,9,49.6026313619048
承德路,8,50.2775732555556
承德路,7,52.6057848285715
承德路,6,54.2605616571429
承德路,5,54.8653004380952
承德路,4,53.4117232285715
承德路,3,54.4109951333333
承德路,2,54.5902427619048
承德路,1,53.3818897809524
承德路,0,55.9273946
承德路,23,54.5487709238095
承德路,22,52.6621704476191
承德路,21,50.7216869238095
承德路,20,49.2479023904762
承德路,19,48.2214049714286
承德路,18,47.5786973238095
承德路,17,47.0173475428572
承德路,16,46.9752580476191
承德路,15,47.5584693047619
承德路,14,47.7001136
承德路,13,48.573757352381
杭州南路,12,40.8858941428572
杭州南路,11,40.7858167619048
杭州南路,10,41.6241543333333
杭州南路,9,42.0785700476191
杭州南路,8,38.9172415555556
杭州南路,7,42.7822366666667
杭州南路,6,46.1923473809524
杭州南路,5,45.792195952381
杭州南路,4,41.3396824761905
杭州南路,3,47.1253968571429
杭州南路,2,44.3182539047619
杭州南路,1,46.482653
杭州南路,0,48.9594964285714
杭州南路,23,45.71831
杭州南路,22,44.1894916190476
杭州南路,21,43.4178022857143
杭州南路,20,40.6509642380952
杭州南路,19,41.1553082380952
杭州南路,18,40.0170124761905
杭州南路,17,39.6738534761905
杭州南路,16,40.5634276190476
杭州南路,15,41.0306524761905
