road,hour,avgVol
興隆路,6,6.14285714285714
興隆路,5,2.35714285714286
興隆路,4,1.5
興隆路,3,0.928571428571429
興隆路,2,1.5
興隆路,1,1.53571428571429
興隆路,0,4.78571428571429
興隆路,23,4.75
興隆路,22,8
興隆路,21,10.3928571428571
興隆路,20,11.25
興隆路,19,13.1785714285714
興隆路,18,17.6428571428571
興隆路,17,17.5714285714286
興隆路,16,13.3571428571429
興隆路,15,14.0714285714286
興隆路,14,15.3928571428571
興隆路,13,14.4642857142857
西園路,12,32.6071428571429
西園路,11,37.7857142857143
西園路,10,36.3571428571429
西園路,9,36.8928571428572
西園路,8,53.7916666666667
西園路,7,37.3928571428572
西園路,6,15.1428571428571
西園路,5,9.07142857142857
西園路,4,8.5
西園路,3,8.96428571428571
西園路,2,10.4285714285714
西園路,1,11.7142857142857
西園路,0,13.75
西園路,23,21.4285714285714
西園路,22,29.1428571428571
西園路,21,33.0357142857143
西園路,20,35.7857142857143
西園路,19,45.0714285714286
西園路,18,54.1071428571429
西園路,17,51.9642857142857
西園路,16,39.0357142857143
西園路,15,36.0714285714286
西園路,14,39.4285714285714
西園路,13,32.8214285714286
