,lon,lat,value,radius,color
6864,121.556279,25.082648000000002,2,1,#DDD23B
6879,121.50873999999999,25.053378,2,1,#DDD23B
6880,121.52346599999998,25.070692,3,3,#DDD23B
6883,121.555901,25.027241,2,1,#DDD23B
6890,121.576641,25.079015,2,1,#DDD23B
6900,121.51159399999999,25.054645,2,1,#DDD23B
6928,121.616165,25.068251,2,1,#DDD23B
7003,121.53009099999998,25.061526999999998,4,5,#DDD23B
7007,121.508117,25.116912,2,1,#DDD23B
7028,121.482933,25.103299,2,1,#DDD23B
7067,121.50111100000001,25.129125,2,1,#DDD23B
7093,121.54623400000001,24.995368,2,1,#DDD23B
7107,121.597264,25.060306,2,1,#DDD23B
7113,121.610235,25.062561,1,1,#DDD23B
7118,121.49541,25.021248,3,3,#DDD23B
7124,121.52530300000001,25.075789999999998,2,1,#DDD23B
7135,121.558295,24.997501999999997,2,1,#DDD23B
7148,121.547724,25.021493,3,3,#DDD23B
7152,121.528148,25.077294000000002,2,1,#DDD23B
7162,121.531659,25.059347,2,1,#DDD23B
7193,121.535991,25.061142,2,1,#DDD23B
7195,121.5652,25.02696,2,1,#DDD23B
7200,121.53688700000001,25.041646,2,1,#DDD23B
7244,121.516001,25.069032999999997,2,1,#DDD23B
7264,121.51994499999999,25.075318,2,1,#DDD23B
7287,121.57295900000001,25.077248,2,1,#DDD23B
7325,121.57222,25.040447,3,3,#DDD23B
7373,121.61666899999999,25.055135,2,1,#DDD23B
7378,121.57810900000001,25.03839,1,1,#DDD23B
7381,121.55855600000001,25.083897,3,3,#DDD23B
7419,121.52153200000001,25.09134,2,1,#DDD23B
7463,121.56657,25.088126000000003,2,1,#DDD23B
7481,121.525453,25.054938,2,1,#DDD23B
7487,121.610824,25.065932999999998,3,3,#DDD23B
7492,121.543772,25.044749,2,1,#DDD23B
7529,121.526371,25.100938,2,1,#DDD23B
7540,121.578374,25.083892000000002,3,3,#DDD23B
7565,121.553366,25.053266,2,1,#DDD23B
7621,121.517146,25.045033,2,1,#DDD23B
7682,121.59190900000002,24.999148,2,1,#DDD23B
7697,121.50690800000001,25.063809,4,5,#DDD23B
7706,121.57401499999999,25.040982999999997,3,3,#DDD23B
7727,121.584709,25.084373,1,1,#DDD23B
7737,121.606425,25.0532,2,1,#DDD23B
7749,121.57443700000002,25.03337,2,1,#DDD23B
7779,121.471528,25.136313,2,1,#DDD23B
7900,121.595173,25.084029,2,1,#DDD23B
7961,121.54623799999999,25.151348000000002,1,1,#DDD23B
7977,121.57328600000001,25.078556,2,1,#DDD23B
8015,121.506082,25.048837,2,1,#DDD23B
8031,121.541357,24.992889,2,1,#DDD23B
8140,121.57578500000001,25.068964,3,3,#DDD23B
8161,121.56726299999998,25.031862,2,1,#DDD23B
8193,121.52196799999999,25.08771,2,1,#DDD23B
8194,121.57606000000001,25.07455,2,1,#DDD23B
8198,121.525578,25.047358,3,3,#DDD23B
8216,121.49186100000001,25.03172,4,5,#DDD23B
8218,121.52008899999998,25.115499,2,1,#DDD23B
8237,121.56244099999999,25.058553,3,3,#DDD23B
8265,121.568386,25.040087,2,1,#DDD23B
8282,121.507309,25.026501,2,1,#DDD23B
8292,121.50368200000001,25.130895000000002,2,1,#DDD23B
8311,121.566427,24.990526000000003,3,3,#DDD23B
8329,121.51421299999998,25.053566,1,1,#DDD23B
8339,121.52845400000001,25.022951000000003,2,1,#DDD23B
8341,121.61155,25.055173,2,1,#DDD23B
8353,121.594352,25.079051,2,1,#DDD23B
8372,121.55503999999999,24.987482,2,1,#DDD23B
8382,121.55316599999999,25.002433,2,1,#DDD23B
8400,121.470623,25.12976,2,1,#DDD23B
8417,121.505277,25.028707999999998,4,5,#DDD23B
8418,121.604351,24.970164999999998,2,1,#DDD23B
8451,121.522792,25.059867,2,1,#DDD23B
8452,121.562655,25.080099,2,1,#DDD23B
8515,121.56546200000001,25.035876000000002,2,1,#DDD23B
8566,121.54685500000001,25.027097,3,3,#DDD23B
8571,121.53726999999999,25.062484,3,3,#DDD23B
8603,121.54241,25.06179,2,1,#DDD23B
8605,121.55018799999999,25.022541,2,1,#DDD23B
8608,121.517963,25.026664,5,15,#E98B2A
8620,121.51373400000001,25.038678,2,1,#DDD23B
8624,121.52515600000001,25.085898999999998,2,1,#DDD23B
8703,121.594798,25.050728,2,1,#DDD23B
8773,121.615412,25.045201000000002,2,1,#DDD23B
8851,121.51053200000001,25.050289000000003,2,1,#DDD23B
8870,121.564999,25.080815,2,1,#DDD23B
8922,121.55441299999998,25.061954999999998,2,1,#DDD23B
8927,121.51494299999999,25.032032,3,3,#DDD23B
8932,121.49214599999999,25.025191,2,1,#DDD23B
8936,121.580132,25.058949,1,1,#DDD23B
8963,121.533138,25.039212,2,1,#DDD23B
8988,121.552522,25.048083,2,1,#DDD23B
8994,121.52838999999999,25.038329,2,1,#DDD23B
9005,121.57991499999999,25.049560999999997,2,1,#DDD23B
9011,121.525772,25.103558,2,1,#DDD23B
9040,121.52734299999999,25.059986,2,1,#DDD23B
9041,121.52896299999999,25.062047,1,1,#DDD23B
9046,121.507478,25.129939,1,1,#DDD23B
9071,121.49775,25.040452,2,1,#DDD23B
9117,121.56411100000001,24.989411999999998,3,3,#DDD23B
9140,121.51506,25.054118,2,1,#DDD23B
9141,121.50373,25.025192999999998,2,1,#DDD23B
9178,121.565502,25.039114,2,1,#DDD23B
9192,121.58783999999999,25.069126,4,5,#DDD23B
9204,121.53027,25.06121,2,1,#DDD23B
9211,121.567596,25.053158,2,1,#DDD23B
9222,121.53322,25.044823,3,3,#DDD23B
9231,121.52112,25.077839,2,1,#DDD23B
9233,121.471593,25.122922,2,1,#DDD23B
9249,121.512173,25.049707,2,1,#DDD23B
9260,121.56873700000001,25.056604,3,3,#DDD23B
9266,121.57059,25.079991,2,1,#DDD23B
9285,121.538124,25.112215,2,1,#DDD23B
9293,121.515244,25.05002,2,1,#DDD23B
9301,121.526905,25.107298999999998,2,1,#DDD23B
9302,121.566705,25.025436,2,1,#DDD23B
9319,121.56313899999999,25.076154000000002,2,1,#DDD23B
9320,121.568477,25.038895,2,1,#DDD23B
9325,121.616979,25.058078,2,1,#DDD23B
9330,121.52540800000001,25.039005,2,1,#DDD23B
9371,121.54453400000001,25.080773,3,3,#DDD23B
9374,121.516741,25.023073999999998,2,1,#DDD23B
9379,121.525678,25.064909,2,1,#DDD23B
9380,121.51494299999999,25.032032,2,1,#DDD23B
9384,121.500202,25.042995,2,1,#DDD23B
9392,121.543917,25.048268,2,1,#DDD23B
9423,121.540682,25.013931,2,1,#DDD23B
9454,121.55061599999999,25.03333,2,1,#DDD23B
9457,121.54681699999999,25.048168,3,3,#DDD23B
9473,121.522553,25.027124,2,1,#DDD23B
9476,121.53956699999999,25.012917,3,3,#DDD23B
9495,121.49867900000001,25.120932,2,1,#DDD23B
